question,reponse1,reponse2,reponse3,reponse4
Quel est le langage de programmation le plus populaire ?,Python,Java,C++,JavaScript
Quel est le protocole de communication utilisé sur le Web ?,HTTP,FTP,TCP/IP,SSH
Comment appelle-t-on un programme qui simule un environnement informatique ?,Émulateur,Sandbox,Virtualisation,Simulateur
Quelle est la différence entre un logiciel libre et un logiciel open source ?,Aucune,La licence,Le mode de développement,La philosophie
Quel système d'exploitation a été développé par Apple ?,macOS,Windows,Linux,Android
Qu'est-ce que le Cloud Computing ?,L'informatique en nuage,Un programme de traitement de texte,Une méthode de cryptage,Un réseau local
Quel est le nom du navigateur Web développé par Google ?,Google Chrome,Firefox,Safari,Internet Explorer
Qu'est-ce que le HTML ?,Un langage de balisage,Un langage de programmation,Un langage de script,Un système de gestion de base de données
Quel est le système de gestion de base de données le plus populaire ?,MySQL,Oracle,SQL Server,PostgreSQL
Quel est le nom de la technologie de stockage de données en ligne de Google ?,Google Drive,Google Docs,Google Sheets,Google Cloud Storage
Quelle est la fonction principale d'un système d'exploitation ?,Gérer les ressources de l'ordinateur,Protéger l'ordinateur contre les virus,Éditer des fichiers audio et vidéo,Établir une connexion Internet
Quel est le nom du créateur de Python ?,Guido van Rossum,Linus Torvalds,Richard Stallman,Bjarne Stroustrup
Qu'est-ce qu'un algorithme de chiffrement asymétrique ?,Un algorithme de chiffrement à clé privée et publique,Un algorithme de chiffrement à clé publique uniquement,Un algorithme de chiffrement à clé privée uniquement,Un algorithme de chiffrement symétrique
Quel est le nom de la première femme programmeuse de l'histoire de l'informatique ?,Ada Lovelace,Grace Hopper,Annie Easley,Karen Spärck Jones
Quel est le nom de l'assistant virtuel développé par Amazon ?,Alexa,Siri,Google Assistant,Cortana
Quelle est la fonction de l'extension de fichier .zip ?,Compresser des fichiers,Chiffrer des fichiers,Modifier des fichiers,Ajouter des fichiers à une archive existante
Quel est le nom de la suite bureautique développée par Microsoft ?,Microsoft Office,OpenOffice,LibreOffice,Google Docs
Quel est le langage utilisé pour la création de sites Web dynamiques ?,JavaScript,HTML,CSS,Python
Quel est le nom du système d'exploitation libre inspiré de Unix ?,Linux,Windows,macOS,Android
Quelle est la fonction principale d'un système d'exploitation ?,Gérer les ressources d'un ordinateur,Assurer la sécurité des données,Interfacer l'utilisateur avec l'ordinateur,Exécuter les programmes
Quelle est la différence entre un ordinateur portable et un ordinateur de bureau ?,La taille,La puissance,La portabilité,Le prix
Quel est le nom du créateur de Facebook ?,Mark Zuckerberg,Bill Gates,Steve Jobs,Elon Musk
Quel est le nom de l'entreprise qui a créé le système d'exploitation Windows ?,Microsoft,Apple,Google,Linux
Quel est le nom de l'outil de développement de logiciels créé par Microsoft ?,Visual Studio,Code::Blocks,NetBeans,Eclipse
Qu'est-ce qu'un algorithme ?,Une suite d'instructions pour résoudre un problème,Un programme informatique,Une base de données,Une interface graphique
Quel est le nom du langage de programmation utilisé pour les applications iOS ?,Swift,Java,C++,Python
Qu'est-ce qu'un pare-feu informatique ?,Un système de sécurité pour protéger un réseau informatique,Un logiciel antivirus,Un périphérique de stockage externe,Un système de sauvegarde de données
